against_mgmt,count_against_mgmt,count_sharehold_propo,cusip,issuer_company,marketcap,perc_against_mgmt,performance_PE,performance_priceCh12m,prop_from,prop_nr,proposal,proposals_count,sector,ticker_issuer,year,environ_prop
FOR MGMT,0,1,G60754101,Michael Kors Holdings ,6078.08,0,10.55x,-32.48%,SH,4,ASSESS FEASIBILITY OF ADOPTING QUANTITATIVE RENEWABLE ENERGY GOALS,6,Retail,KORS,2018,1
AGAINST,1,1,436106108,HollyFrontier,9825.44,7.142857143,6.87x,25.44%,SH,6,"REPORT ON SUSTAINABILITY, INCLUDING GHG",14,Oil and Gas,HFC,2015,1
AGAINST,2,2,00130H105,The AES Corporation,10285.48,14.28571429,52.31x,45.14%,SH,6,ASSESS IMPACT OF A 2 DEGREE SCENARIO,14,Energy,AES,2017,1
FOR MGMT,0,1,832696405,The J. M. Smucker Company,11167.64,0,8.33x,-17.14%,SH,5,REPORT ON PLANS TO INCREASE RENEWABLE ENERGY USE,17,Food and drinks,SJM,2018,1
FOR MGMT,0,2,302130109,Expeditors International of Washington,12179.68,0,20.86x,9.96%,SH,4,ASSESS FEASIBILITY OF INCLUDING SUSTAINABILITY AS A PERFORMANCE MEASURE FOR SENIOR EXECUTIVE COMPENSATION,14,"Distribution, Logistics and Packaging",EXPD,2018,1
AGAINST,4,4,25179M103,Devon Energy Corporation,12735.04,26.66666667,NM,-26.78%,SH,4,REVIEW PUBLIC POLICY ADVOCACY ON CLIMATE CHANGE,15,Oil and Gas,DVN,2016,1
AGAINST,4,4,25179M103,Devon Energy Corporation,12735.04,22.22222222,NM,-26.78%,SH,7,REVIEW PUBLIC POLICY ADVOCACY ON CLIMATE,18,Oil and Gas,DVN,2017,1
AGAINST,4,4,25179M103,Devon Energy Corporation,12735.04,26.66666667,NM,-26.78%,SH,5,ANNUALLY ASSESS PORTFOLIO IMPACTS OF POLICIES TO MEET 2 DEGREE SCENARIO,15,Oil and Gas,DVN,2016,1
AGAINST,4,4,25179M103,Devon Energy Corporation,12735.04,25,NM,-26.78%,SH,8,REPORT ON FINANCIAL RISKS OF CLIMATE CHANGE,16,Oil and Gas,DVN,2015,1
AGAINST,4,4,25179M103,Devon Energy Corporation,12735.04,25,NM,-26.78%,SH,6,REVIEW PUBLIC POLICY ADVOCACY ON CLIMATE CHANGE,16,Oil and Gas,DVN,2015,1
AGAINST,6,5,169656105,Chipotle Mexican Grill,12988.62,33.33333333,69.57x,49.03%,SH,9,"REPORT ON SUSTAINABILITY, INCLUDING",18,Restaurants,CMG,2016,1
AGAINST,5,5,169656105,Chipotle Mexican Grill,12988.62,29.41176471,69.57x,49.03%,SH,12,"REPORT ON SUSTAINABILITY, INCLUDING",17,Restaurants,CMG,2015,1
FOR MGMT,0,1,44107P104,"Host Hotels & Resorts, Inc.",13646.53,0,15.58x,-6.41%,SH,3,REPORT ON SUSTAINABILITY,13,Real Estate,HST,2018,1
